job_id,appointment_id,scheduled_for,trade,dispatched,completed,status,leak_reason,quoted_value,invoiced_value
JOB-5133,APPT-5133,2026-05-17T14:00,Roofing,yes,no,cancelled,customer cancelled pre-arrival,6358.14,0.0
JOB-5134,APPT-5134,2026-06-13T07:46,Plumbing,yes,yes,invoiced,,705.15,705.15
JOB-5135,APPT-5135,2026-06-04T01:31,Plumbing,yes,yes,invoiced,,242.82,242.82
JOB-5136,APPT-5136,2026-05-13T00:38,Roofing,yes,yes,invoiced,,7221.23,7221.23
JOB-5137,APPT-5137,2026-06-08T21:44,Electrical,yes,yes,invoiced,,204.38,204.38
JOB-5138,APPT-5138,2026-05-12T18:46,Roofing,yes,yes,invoiced,,446.33,446.33
JOB-5139,APPT-5139,2026-06-06T19:44,Roofing,yes,no,cancelled,capacity conflict - slot unavailable,5237.05,0.0
JOB-5140,APPT-5140,2026-06-29T08:05,Roofing,no,no,cancelled,duplicate of existing job,872.6,0.0
JOB-5141,APPT-5141,2026-05-23T18:36,HVAC,no,no,cancelled,customer cancelled pre-arrival,274.13,0.0
JOB-5142,APPT-5142,2026-05-27T22:06,Garage Door,yes,yes,invoiced,,698.73,698.73
JOB-5143,APPT-5143,2026-05-06T03:53,HVAC,yes,yes,completed_unbilled,invoice not raised,775.05,0.0
JOB-5144,APPT-5144,2026-05-17T12:54,Roofing,yes,yes,invoiced,,510.69,495.41
JOB-5145,APPT-5145,2026-05-04T11:11,Plumbing,no,no,cancelled,capacity conflict - slot unavailable,401.32,0.0
JOB-5146,APPT-5146,2026-06-26T01:41,Garage Door,yes,yes,invoiced,,239.56,239.56
JOB-5147,APPT-5147,2026-05-27T09:23,Roofing,yes,yes,invoiced,,434.96,434.96
JOB-5148,APPT-5148,2026-05-20T17:17,Plumbing,no,no,cancelled,outside service area,386.26,0.0
JOB-5149,APPT-5149,2026-05-25T07:54,Roofing,yes,yes,invoiced,,2045.33,1668.31
JOB-5150,APPT-5150,2026-05-10T03:12,Garage Door,yes,yes,invoiced,,132.32,132.32
JOB-5151,APPT-5151,2026-06-15T13:58,Roofing,yes,no,no_show,customer no-show,485.44,0.0
JOB-5152,APPT-5152,2026-05-30T02:36,HVAC,yes,yes,invoiced,,180.12,180.12
JOB-5153,APPT-5153,2026-06-01T01:38,HVAC,yes,yes,invoiced,,251.35,251.35
JOB-5154,APPT-5154,2026-05-07T05:52,Plumbing,yes,yes,invoiced,,306.88,306.88
JOB-5155,APPT-5155,2026-06-19T09:58,Plumbing,yes,yes,invoiced,,150.28,150.28
JOB-5156,APPT-5156,2026-05-30T18:39,Roofing,yes,yes,invoiced,,403.91,403.91
JOB-5157,APPT-5157,2026-06-13T00:59,Roofing,no,no,cancelled,customer cancelled pre-arrival,1115.6,0.0
JOB-5158,APPT-5158,2026-06-21T09:03,Garage Door,yes,yes,completed_unbilled,invoice not raised,137.31,0.0
JOB-5159,APPT-5159,2026-05-30T10:44,Plumbing,no,no,cancelled,capacity conflict - slot unavailable,150.0,0.0
JOB-5160,APPT-5160,2026-06-05T14:44,Garage Door,no,no,cancelled,wrong trade assigned,135.91,0.0
JOB-5161,APPT-5161,2026-05-22T21:01,HVAC,yes,yes,invoiced,,190.88,190.88
JOB-5162,APPT-5162,2026-05-21T03:55,HVAC,yes,yes,invoiced,,2495.19,2495.19
JOB-5163,APPT-5163,2026-06-10T00:13,Plumbing,yes,yes,invoiced,,1720.94,1720.94
JOB-5164,APPT-5164,2026-05-26T20:47,Roofing,yes,no,cancelled,customer cancelled pre-arrival,704.1,0.0
JOB-5165,APPT-5165,2026-05-13T18:17,Electrical,yes,yes,completed_unbilled,invoice not raised,140.82,0.0
JOB-5166,APPT-5166,2026-06-24T17:47,Electrical,yes,no,no_show,customer no-show,182.86,0.0
JOB-5167,APPT-5167,2026-06-04T21:51,Electrical,yes,yes,invoiced,,913.52,913.52
JOB-5168,APPT-5168,2026-05-09T11:47,Roofing,yes,yes,completed_unbilled,invoice not raised,3090.54,0.0
JOB-5169,APPT-5169,2026-05-29T12:08,Electrical,yes,no,cancelled,capacity conflict - slot unavailable,149.39,0.0
JOB-5170,APPT-5170,2026-05-02T19:19,HVAC,yes,yes,invoiced,,216.61,230.29
JOB-5171,APPT-5171,2026-06-22T14:51,Garage Door,yes,no,cancelled,duplicate of existing job,256.34,0.0
JOB-5172,APPT-5172,2026-05-19T11:18,Roofing,yes,yes,invoiced,,8545.88,8545.88
JOB-5173,APPT-5173,2026-05-18T12:55,Garage Door,yes,yes,invoiced,,155.23,155.23
JOB-5174,APPT-5174,2026-05-15T15:17,Roofing,yes,yes,invoiced,,433.19,433.19
JOB-5175,APPT-5175,2026-05-31T04:43,Electrical,yes,yes,invoiced,,1150.96,1150.96
JOB-5176,APPT-5176,2026-05-11T11:15,Electrical,no,no,cancelled,capacity conflict - slot unavailable,347.2,0.0
JOB-5177,APPT-5177,2026-06-11T07:00,Garage Door,yes,yes,invoiced,,120.03,120.03
JOB-5178,APPT-5178,2026-06-11T09:57,Garage Door,no,no,cancelled,capacity conflict - slot unavailable,603.17,0.0
JOB-5179,APPT-5179,2026-05-14T11:30,Plumbing,no,no,cancelled,customer cancelled pre-arrival,153.51,0.0
JOB-5180,APPT-5180,2026-05-18T19:30,Plumbing,yes,yes,invoiced,,1021.91,1021.91
JOB-5181,APPT-5181,2026-06-08T05:05,Roofing,yes,yes,invoiced,,1368.22,1368.22
JOB-5182,APPT-5182,2026-05-10T21:18,Electrical,yes,yes,invoiced,,838.04,838.04
JOB-5183,APPT-5183,2026-06-09T00:34,Roofing,yes,yes,invoiced,,2131.24,1918.62
JOB-5184,APPT-5184,2026-05-10T03:36,Electrical,yes,no,cancelled,outside service area,141.94,0.0
JOB-5185,APPT-5185,2026-05-04T02:22,Plumbing,no,no,cancelled,duplicate of existing job,1245.76,0.0
JOB-5186,APPT-5186,2026-06-03T00:46,Electrical,yes,yes,invoiced,,154.26,154.26
JOB-5187,APPT-5187,2026-06-20T13:15,Roofing,yes,no,no_show,customer no-show,2995.86,0.0
JOB-5188,APPT-5188,2026-06-19T11:19,Garage Door,yes,yes,invoiced,,164.67,164.67
JOB-5189,APPT-5189,2026-05-16T12:09,Electrical,yes,yes,invoiced,,148.8,147.98
JOB-5190,APPT-5190,2026-06-07T03:38,Garage Door,yes,yes,invoiced,,388.21,388.21
JOB-5191,APPT-5191,2026-06-18T17:22,Electrical,yes,no,cancelled,wrong trade assigned,142.69,0.0
JOB-5192,APPT-5192,2026-05-21T21:55,HVAC,yes,yes,invoiced,,201.79,201.79
JOB-5193,APPT-5193,2026-05-11T22:46,HVAC,yes,yes,invoiced,,188.57,176.49
JOB-5194,APPT-5194,2026-05-20T00:05,Roofing,no,no,cancelled,customer cancelled pre-arrival,754.25,0.0
JOB-5195,APPT-5195,2026-06-11T20:39,Garage Door,no,no,cancelled,wrong trade assigned,167.4,0.0
JOB-5196,APPT-5196,2026-05-20T22:38,HVAC,yes,yes,invoiced,,244.85,212.13
JOB-5197,APPT-5197,2026-06-26T19:32,Electrical,no,no,cancelled,duplicate of existing job,226.78,0.0
JOB-5198,APPT-5198,2026-05-22T14:03,Plumbing,yes,yes,invoiced,,248.86,248.86
JOB-5199,APPT-5199,2026-06-03T13:03,HVAC,yes,yes,invoiced,,195.77,195.77
JOB-5200,APPT-5200,2026-06-03T12:53,Plumbing,yes,yes,invoiced,,349.54,378.53
JOB-5201,APPT-5201,2026-07-02T04:29,Roofing,yes,yes,invoiced,,1502.29,1375.94
JOB-5202,APPT-5202,2026-05-24T18:18,Roofing,yes,no,cancelled,capacity conflict - slot unavailable,789.13,0.0
JOB-5203,APPT-5203,2026-05-08T12:46,Garage Door,no,no,cancelled,outside service area,398.7,0.0
JOB-5204,APPT-5204,2026-05-18T05:42,Plumbing,yes,yes,invoiced,,156.66,156.66
JOB-5205,APPT-5205,2026-06-01T03:56,Roofing,yes,yes,invoiced,,1224.17,1224.17
JOB-5206,APPT-5206,2026-06-23T18:49,Plumbing,yes,yes,invoiced,,243.23,243.23
JOB-5207,APPT-5207,2026-06-06T10:24,Roofing,no,no,cancelled,customer cancelled pre-arrival,437.0,0.0
JOB-5208,APPT-5208,2026-07-01T20:47,Plumbing,yes,yes,invoiced,,209.27,209.27
JOB-5209,APPT-5209,2026-05-08T20:07,Plumbing,yes,yes,invoiced,,227.37,227.37
JOB-5210,APPT-5210,2026-05-24T23:31,HVAC,yes,yes,invoiced,,3788.37,4098.84
JOB-5211,APPT-5211,2026-05-20T19:50,HVAC,yes,yes,invoiced,,558.66,733.62
JOB-5212,APPT-5212,2026-05-21T23:53,Plumbing,yes,no,no_show,customer no-show,827.26,0.0
JOB-5213,APPT-5213,2026-06-04T05:12,Plumbing,yes,yes,invoiced,,155.22,155.22
JOB-5214,APPT-5214,2026-05-13T12:35,Roofing,no,no,cancelled,customer cancelled pre-arrival,3603.87,0.0
JOB-5215,APPT-5215,2026-05-28T12:20,Plumbing,yes,yes,invoiced,,226.47,226.47
JOB-5216,APPT-5216,2026-05-05T13:38,HVAC,no,no,cancelled,outside service area,465.87,0.0
JOB-5217,APPT-5217,2026-06-05T07:13,HVAC,yes,yes,invoiced,,180.03,180.03
JOB-5218,APPT-5218,2026-06-14T01:51,Roofing,yes,yes,invoiced,,511.51,389.08
JOB-5219,APPT-5219,2026-06-29T05:24,Roofing,yes,no,cancelled,outside service area,568.61,0.0
JOB-5220,APPT-5220,2026-06-04T00:45,Electrical,yes,yes,invoiced,,180.54,180.54
JOB-5221,APPT-5221,2026-06-11T03:12,Garage Door,yes,yes,invoiced,,138.88,138.88
JOB-5222,APPT-5222,2026-05-14T10:59,Electrical,yes,yes,invoiced,,1792.83,1792.83
JOB-5223,APPT-5223,2026-06-06T17:20,Electrical,yes,yes,invoiced,,188.56,188.56
JOB-5224,APPT-5224,2026-05-31T09:13,Plumbing,yes,yes,invoiced,,153.54,199.3
JOB-5225,APPT-5225,2026-05-05T10:08,Plumbing,yes,no,cancelled,wrong trade assigned,1140.24,0.0
JOB-5226,APPT-5226,2026-06-24T16:10,Electrical,no,no,cancelled,wrong trade assigned,173.5,0.0
JOB-5227,APPT-5227,2026-06-16T09:38,Electrical,yes,no,cancelled,wrong trade assigned,140.56,0.0
JOB-5228,APPT-5228,2026-05-26T23:30,Garage Door,yes,yes,invoiced,,154.11,154.11
JOB-5229,APPT-5229,2026-06-05T15:07,Roofing,yes,yes,invoiced,,795.67,795.67
JOB-5230,APPT-5230,2026-06-10T16:59,Garage Door,yes,yes,invoiced,,585.12,585.12
JOB-5231,APPT-5231,2026-05-24T02:22,HVAC,yes,no,cancelled,wrong trade assigned,954.43,0.0
JOB-5232,APPT-5232,2026-06-15T19:40,Plumbing,no,no,cancelled,capacity conflict - slot unavailable,585.0,0.0
JOB-5233,APPT-5233,2026-05-19T02:34,HVAC,no,no,cancelled,customer cancelled pre-arrival,233.29,0.0
JOB-5234,APPT-5234,2026-05-18T07:52,Electrical,yes,yes,invoiced,,140.18,166.85
JOB-5235,APPT-5235,2026-06-13T23:34,Plumbing,yes,yes,invoiced,,1122.5,1122.5
JOB-5236,APPT-5236,2026-07-02T19:52,Garage Door,yes,yes,invoiced,,1129.68,1129.68
JOB-5237,APPT-5237,2026-06-05T04:51,Garage Door,yes,yes,completed_unbilled,invoice not raised,120.36,0.0
JOB-5238,APPT-5238,2026-06-08T16:53,Roofing,yes,yes,invoiced,,404.24,404.24
JOB-5239,APPT-5239,2026-06-01T07:09,HVAC,yes,yes,invoiced,,1957.13,1704.22
JOB-5240,APPT-5240,2026-05-08T15:43,HVAC,yes,yes,invoiced,,641.3,641.3
JOB-5241,APPT-5241,2026-06-21T13:52,HVAC,yes,no,cancelled,customer cancelled pre-arrival,185.58,0.0
JOB-5242,APPT-5242,2026-06-27T16:31,Roofing,yes,yes,invoiced,,407.14,486.99
JOB-5243,APPT-5243,2026-05-22T20:36,Electrical,yes,yes,completed_unbilled,invoice not raised,230.43,0.0
JOB-5244,APPT-5244,2026-05-03T14:51,Garage Door,yes,yes,invoiced,,126.8,105.54
JOB-5245,APPT-5245,2026-06-04T23:10,Electrical,yes,yes,invoiced,,200.23,146.12
JOB-5246,APPT-5246,2026-06-18T22:27,Roofing,no,no,cancelled,capacity conflict - slot unavailable,2982.17,0.0
JOB-5247,APPT-5247,2026-06-13T18:58,Electrical,yes,yes,invoiced,,142.79,142.79
JOB-5248,APPT-5248,2026-06-22T11:18,Plumbing,yes,yes,invoiced,,986.84,986.84
JOB-5249,APPT-5249,2026-05-10T04:41,Plumbing,yes,no,cancelled,wrong trade assigned,2810.33,0.0
JOB-5250,APPT-5250,2026-06-21T20:28,Roofing,yes,yes,invoiced,,905.91,905.91
JOB-5251,APPT-5251,2026-05-14T08:51,Plumbing,yes,no,no_show,customer no-show,152.58,0.0
JOB-5252,APPT-5252,2026-06-25T07:12,Electrical,yes,yes,invoiced,,166.22,166.22
JOB-5253,APPT-5253,2026-06-03T14:50,Garage Door,yes,yes,invoiced,,1134.21,1134.21
JOB-5254,APPT-5254,2026-05-29T07:16,Roofing,yes,yes,invoiced,,419.22,363.72
JOB-5255,APPT-5255,2026-06-24T01:19,Plumbing,yes,yes,invoiced,,151.63,151.63
JOB-5256,APPT-5256,2026-05-25T17:39,Electrical,yes,yes,invoiced,,312.19,312.19
JOB-5257,APPT-5257,2026-06-30T00:15,Electrical,yes,no,no_show,customer no-show,157.86,0.0
JOB-5258,APPT-5258,2026-06-11T02:42,Garage Door,yes,yes,invoiced,,307.89,343.59
