call_id,timestamp,trade,handled_by,after_hours,duration_sec,booked,appointment_id
CALL-0090,2026-06-07T15:50,Electrical,ai,yes,197,no,
CALL-0091,2026-06-01T16:08,Electrical,ai,no,65,yes,APPT-5046
CALL-0092,2026-05-29T08:49,Roofing,ai,no,297,yes,APPT-5047
CALL-0093,2026-05-21T08:27,HVAC,human,no,436,yes,APPT-5048
CALL-0094,2026-06-13T15:01,HVAC,ai,yes,298,no,
CALL-0095,2026-05-22T17:16,Electrical,ai,no,103,no,
CALL-0096,2026-05-19T09:20,Roofing,ai,no,373,no,
CALL-0097,2026-06-28T15:34,HVAC,ai,yes,344,no,
CALL-0098,2026-06-15T11:53,Electrical,human,no,54,yes,APPT-5049
CALL-0099,2026-05-19T14:38,Roofing,ai,no,331,no,
CALL-0100,2026-06-27T10:50,Roofing,ai,yes,105,yes,APPT-5050
CALL-0101,2026-06-16T13:32,Roofing,ai,no,383,yes,APPT-5051
CALL-0102,2026-06-02T11:46,Roofing,ai,no,92,yes,APPT-5052
CALL-0103,2026-06-18T23:17,Electrical,ai,yes,456,no,
CALL-0104,2026-05-02T20:21,Garage Door,ai,yes,409,no,
CALL-0105,2026-05-01T10:59,HVAC,ai,no,293,yes,APPT-5053
CALL-0106,2026-05-05T09:29,Electrical,ai,no,443,yes,APPT-5054
CALL-0107,2026-05-15T06:11,HVAC,ai,yes,88,yes,APPT-5055
CALL-0108,2026-05-14T12:37,Garage Door,human,no,144,no,
CALL-0109,2026-05-02T13:19,Plumbing,human,yes,282,no,
CALL-0110,2026-05-11T20:50,HVAC,ai,yes,468,yes,APPT-5056
CALL-0111,2026-05-30T07:29,Electrical,ai,yes,298,yes,APPT-5057
CALL-0112,2026-05-04T09:49,Electrical,ai,no,335,yes,APPT-5058
CALL-0113,2026-05-28T07:52,Electrical,human,yes,114,yes,APPT-5059
CALL-0114,2026-05-15T09:29,Garage Door,human,no,118,no,
CALL-0115,2026-05-27T14:30,Electrical,ai,no,476,yes,APPT-5060
CALL-0116,2026-05-19T11:17,Roofing,ai,no,426,no,
CALL-0117,2026-06-14T01:05,Garage Door,ai,yes,213,yes,APPT-5061
CALL-0118,2026-06-12T10:51,Electrical,ai,no,396,no,
CALL-0119,2026-05-14T17:16,Garage Door,ai,no,297,no,
CALL-0120,2026-05-16T17:26,Roofing,ai,yes,174,no,
CALL-0121,2026-06-28T17:42,Electrical,human,yes,71,yes,APPT-5062
CALL-0122,2026-06-21T00:38,Plumbing,ai,yes,72,yes,APPT-5063
CALL-0123,2026-06-14T09:01,Plumbing,ai,yes,278,yes,APPT-5064
CALL-0124,2026-05-08T14:18,Garage Door,human,no,180,yes,APPT-5065
CALL-0125,2026-05-04T13:03,HVAC,ai,no,287,no,
CALL-0126,2026-05-15T17:14,Roofing,ai,no,324,no,
CALL-0127,2026-05-11T11:26,Electrical,ai,no,308,no,
CALL-0128,2026-05-24T17:19,Garage Door,ai,yes,245,no,
CALL-0129,2026-05-15T13:45,Electrical,ai,no,417,yes,APPT-5066
CALL-0130,2026-05-31T12:15,Roofing,ai,yes,58,no,
CALL-0131,2026-05-07T09:05,Garage Door,ai,no,472,yes,APPT-5067
CALL-0132,2026-06-06T11:14,Garage Door,ai,yes,91,no,
CALL-0133,2026-06-26T16:14,Roofing,ai,no,355,no,
CALL-0134,2026-06-25T13:12,HVAC,ai,no,265,no,
CALL-0135,2026-06-12T08:18,Garage Door,ai,no,86,no,
CALL-0136,2026-06-07T07:10,Plumbing,ai,yes,238,no,
CALL-0137,2026-05-27T17:59,HVAC,ai,no,233,yes,APPT-5068
CALL-0138,2026-06-11T20:17,Garage Door,ai,yes,473,no,
CALL-0139,2026-06-29T16:53,Garage Door,ai,no,365,no,
CALL-0140,2026-05-30T16:08,Roofing,ai,yes,346,no,
CALL-0141,2026-05-03T10:05,Garage Door,ai,yes,286,no,
CALL-0142,2026-05-11T16:22,Garage Door,ai,no,348,yes,APPT-5069
CALL-0143,2026-06-08T12:36,Electrical,ai,no,111,no,
CALL-0144,2026-05-09T15:26,HVAC,ai,yes,149,yes,APPT-5070
CALL-0145,2026-06-27T08:54,Plumbing,ai,yes,470,no,
CALL-0146,2026-05-29T07:26,HVAC,ai,yes,277,yes,APPT-5071
CALL-0147,2026-06-25T16:40,HVAC,human,no,50,no,
CALL-0148,2026-05-06T14:55,Plumbing,ai,no,339,no,
CALL-0149,2026-06-27T12:58,HVAC,ai,yes,271,yes,APPT-5072
CALL-0150,2026-06-03T18:33,Garage Door,ai,yes,238,no,
CALL-0151,2026-05-13T10:58,Garage Door,ai,no,460,no,
CALL-0152,2026-06-17T15:17,Roofing,ai,no,287,no,
CALL-0153,2026-05-15T12:33,Electrical,ai,no,206,no,
CALL-0154,2026-06-14T12:00,Roofing,ai,yes,472,no,
CALL-0155,2026-06-25T07:33,Electrical,ai,yes,259,yes,APPT-5073
CALL-0156,2026-05-02T12:43,Garage Door,ai,yes,403,no,
CALL-0157,2026-05-27T07:16,Garage Door,human,yes,170,no,
CALL-0158,2026-06-29T07:29,Plumbing,ai,yes,435,yes,APPT-5074
CALL-0159,2026-05-28T09:07,Plumbing,ai,no,153,no,
CALL-0160,2026-05-03T01:05,Garage Door,ai,yes,467,no,
CALL-0161,2026-05-12T22:01,Roofing,ai,yes,238,no,
CALL-0162,2026-05-05T21:32,Plumbing,ai,yes,428,no,
CALL-0163,2026-05-10T07:46,HVAC,ai,yes,164,yes,APPT-5075
CALL-0164,2026-06-07T12:53,Roofing,ai,yes,237,yes,APPT-5076
CALL-0165,2026-05-28T13:58,HVAC,ai,no,350,no,
CALL-0166,2026-06-05T19:11,Garage Door,human,yes,396,no,
CALL-0167,2026-05-23T09:16,Electrical,human,yes,90,yes,APPT-5077
CALL-0168,2026-06-28T03:29,Garage Door,ai,yes,313,yes,APPT-5078
CALL-0169,2026-06-01T17:15,Garage Door,ai,no,336,no,
CALL-0170,2026-06-16T17:21,Roofing,ai,no,300,yes,APPT-5079
CALL-0171,2026-06-20T15:28,Electrical,ai,yes,224,yes,APPT-5080
CALL-0172,2026-05-21T12:52,Roofing,ai,no,227,no,
CALL-0173,2026-06-09T09:54,Garage Door,ai,no,134,no,
CALL-0174,2026-06-22T13:00,Plumbing,ai,no,173,yes,APPT-5081
CALL-0175,2026-06-14T13:24,HVAC,human,yes,470,yes,APPT-5082
CALL-0176,2026-06-05T20:19,Plumbing,ai,yes,226,yes,APPT-5083
CALL-0177,2026-06-04T09:08,Electrical,ai,no,114,no,
CALL-0178,2026-06-15T11:07,Garage Door,ai,no,297,no,
CALL-0179,2026-05-20T15:06,Electrical,ai,no,212,no,
CALL-0180,2026-05-29T09:25,Roofing,ai,no,323,yes,APPT-5084
CALL-0181,2026-05-27T20:46,Electrical,ai,yes,173,yes,APPT-5085
CALL-0182,2026-06-24T18:52,HVAC,ai,yes,415,yes,APPT-5086
CALL-0183,2026-06-01T12:22,Garage Door,ai,no,317,no,
CALL-0184,2026-06-22T15:37,Plumbing,ai,no,336,no,
CALL-0185,2026-06-28T21:19,HVAC,ai,yes,189,yes,APPT-5087
CALL-0186,2026-06-08T20:28,Garage Door,ai,yes,431,yes,APPT-5088
CALL-0187,2026-05-01T21:38,HVAC,ai,yes,280,yes,APPT-5089
CALL-0188,2026-06-05T11:44,Electrical,ai,no,249,no,
CALL-0189,2026-05-13T14:41,Roofing,ai,no,454,yes,APPT-5090
CALL-0190,2026-05-13T09:47,Garage Door,human,no,359,no,
CALL-0191,2026-05-28T09:23,HVAC,ai,no,417,no,
CALL-0192,2026-05-25T16:40,Roofing,ai,no,161,no,
CALL-0193,2026-05-26T14:29,Plumbing,ai,no,136,yes,APPT-5091
CALL-0194,2026-06-06T05:06,HVAC,ai,yes,128,no,
CALL-0195,2026-05-01T09:17,HVAC,ai,no,378,yes,APPT-5092
CALL-0196,2026-05-02T11:54,Garage Door,human,yes,60,no,
CALL-0197,2026-05-21T11:06,Garage Door,ai,no,322,no,
CALL-0198,2026-06-06T08:31,Roofing,ai,yes,280,yes,APPT-5093
CALL-0199,2026-05-10T15:16,Electrical,ai,yes,382,no,
CALL-0200,2026-06-24T11:08,HVAC,ai,no,306,no,
CALL-0201,2026-05-24T10:50,Roofing,ai,yes,94,yes,APPT-5094
CALL-0202,2026-06-07T15:10,Garage Door,human,yes,369,yes,APPT-5095
CALL-0203,2026-05-14T18:31,HVAC,ai,yes,309,no,
CALL-0204,2026-05-18T13:34,Garage Door,human,no,59,yes,APPT-5096
CALL-0205,2026-06-01T17:08,Garage Door,ai,no,211,yes,APPT-5097
CALL-0206,2026-05-01T03:31,Garage Door,ai,yes,339,no,
CALL-0207,2026-06-22T10:14,Garage Door,ai,no,345,yes,APPT-5098
CALL-0208,2026-05-13T08:36,Electrical,ai,no,423,yes,APPT-5099
CALL-0209,2026-06-24T14:31,Roofing,ai,no,321,no,
CALL-0210,2026-05-26T07:02,Plumbing,human,yes,389,yes,APPT-5100
CALL-0211,2026-06-04T12:32,Roofing,human,no,267,no,
CALL-0212,2026-05-23T03:25,Electrical,ai,yes,248,no,
CALL-0213,2026-05-26T14:57,Garage Door,ai,no,320,no,
CALL-0214,2026-06-09T04:42,Plumbing,ai,yes,296,no,
CALL-0215,2026-06-25T14:31,Plumbing,ai,no,297,no,
CALL-0216,2026-05-05T16:30,Garage Door,ai,no,92,yes,APPT-5101
CALL-0217,2026-05-17T12:34,Garage Door,ai,yes,253,no,
CALL-0218,2026-05-16T10:08,Plumbing,ai,yes,350,no,
CALL-0219,2026-05-24T17:58,HVAC,ai,yes,99,no,
CALL-0220,2026-05-27T08:49,Garage Door,ai,no,444,yes,APPT-5102
CALL-0221,2026-05-16T14:37,Electrical,ai,yes,249,yes,APPT-5103
CALL-0222,2026-06-27T09:14,Garage Door,human,yes,233,no,
CALL-0223,2026-05-07T13:31,HVAC,ai,no,462,yes,APPT-5104
CALL-0224,2026-05-04T10:14,Electrical,human,no,322,no,
CALL-0225,2026-06-05T14:57,HVAC,ai,no,145,yes,APPT-5105
CALL-0226,2026-06-29T12:41,Plumbing,ai,no,243,no,
CALL-0227,2026-06-21T05:59,Garage Door,ai,yes,89,no,
CALL-0228,2026-06-07T17:47,Roofing,ai,yes,352,no,
CALL-0229,2026-06-01T10:10,Electrical,ai,no,109,no,
CALL-0230,2026-06-13T15:07,Garage Door,ai,yes,442,no,
CALL-0231,2026-05-31T14:48,HVAC,ai,yes,271,no,
CALL-0232,2026-05-19T09:34,Garage Door,ai,no,461,yes,APPT-5106
CALL-0233,2026-06-12T15:33,Roofing,ai,no,294,yes,APPT-5107
CALL-0234,2026-06-23T10:34,Plumbing,ai,no,259,no,
CALL-0235,2026-06-29T21:20,Electrical,ai,yes,197,no,
CALL-0236,2026-05-20T11:29,Electrical,ai,no,474,no,
CALL-0237,2026-06-14T13:08,Roofing,ai,yes,191,yes,APPT-5108
CALL-0238,2026-06-04T13:16,HVAC,ai,no,308,no,
CALL-0239,2026-05-11T16:09,HVAC,ai,no,158,no,
CALL-0240,2026-05-15T15:56,Roofing,ai,no,297,yes,APPT-5109
CALL-0241,2026-06-08T10:09,Electrical,ai,no,278,no,
CALL-0242,2026-06-15T04:50,Garage Door,ai,yes,123,yes,APPT-5110
CALL-0243,2026-06-02T15:16,Electrical,ai,no,274,no,
CALL-0244,2026-06-29T09:49,Roofing,ai,no,314,yes,APPT-5111
CALL-0245,2026-05-17T15:05,HVAC,ai,yes,236,yes,APPT-5112
CALL-0246,2026-06-11T08:09,HVAC,ai,no,411,yes,APPT-5113
CALL-0247,2026-06-07T16:13,Garage Door,human,yes,464,yes,APPT-5114
CALL-0248,2026-06-12T09:38,HVAC,ai,no,451,yes,APPT-5115
CALL-0249,2026-06-28T13:00,Electrical,ai,yes,109,yes,APPT-5116
CALL-0250,2026-05-14T11:54,Electrical,ai,no,286,yes,APPT-5117
CALL-0251,2026-06-27T07:56,Electrical,ai,yes,306,yes,APPT-5118
CALL-0252,2026-05-10T10:20,Garage Door,ai,yes,170,no,
CALL-0253,2026-05-22T21:10,Electrical,ai,yes,234,no,
CALL-0254,2026-06-17T11:54,Garage Door,ai,no,480,no,
CALL-0255,2026-05-12T09:25,Electrical,ai,no,471,yes,APPT-5119
CALL-0256,2026-05-22T13:27,Plumbing,ai,no,86,yes,APPT-5120
CALL-0257,2026-05-16T15:54,Plumbing,human,yes,65,no,
CALL-0258,2026-06-27T11:25,HVAC,ai,yes,308,yes,APPT-5121
CALL-0259,2026-06-10T16:51,Garage Door,ai,no,105,no,
CALL-0260,2026-06-05T10:10,Garage Door,ai,no,167,no,
CALL-0261,2026-05-26T08:33,Roofing,human,no,443,yes,APPT-5122
CALL-0262,2026-06-19T18:00,Garage Door,ai,yes,173,no,
CALL-0263,2026-05-13T14:11,Electrical,ai,no,82,yes,APPT-5123
CALL-0264,2026-05-04T17:25,Garage Door,human,no,216,no,
CALL-0265,2026-06-10T09:34,HVAC,ai,no,337,yes,APPT-5124
CALL-0266,2026-06-19T16:11,Electrical,ai,no,143,no,
CALL-0267,2026-06-05T10:00,HVAC,ai,no,82,no,
CALL-0268,2026-05-04T15:30,Garage Door,ai,no,277,yes,APPT-5125
CALL-0269,2026-05-27T11:46,Roofing,ai,no,225,yes,APPT-5126
CALL-0270,2026-06-17T12:51,Garage Door,ai,no,433,no,
CALL-0271,2026-05-17T09:01,Plumbing,ai,yes,273,no,
CALL-0272,2026-05-02T19:05,Roofing,ai,yes,58,no,
CALL-0273,2026-06-08T18:46,Electrical,ai,yes,73,no,
CALL-0274,2026-06-19T10:31,Plumbing,ai,no,468,no,
CALL-0275,2026-06-17T15:50,Garage Door,ai,no,439,no,
CALL-0276,2026-05-19T16:49,Plumbing,ai,no,457,yes,APPT-5127
CALL-0277,2026-06-28T17:47,Roofing,ai,yes,452,no,
CALL-0278,2026-06-07T09:54,Plumbing,ai,yes,52,yes,APPT-5128
CALL-0279,2026-06-17T09:47,Electrical,ai,no,341,yes,APPT-5129
CALL-0280,2026-06-27T20:51,HVAC,ai,yes,53,yes,APPT-5130
CALL-0281,2026-05-20T17:42,HVAC,ai,no,99,no,
CALL-0282,2026-06-05T16:33,Roofing,human,no,429,yes,APPT-5131
CALL-0283,2026-06-12T12:59,Electrical,ai,no,438,no,
CALL-0284,2026-06-04T18:24,Electrical,ai,yes,409,yes,APPT-5132
CALL-0285,2026-05-31T16:30,Garage Door,ai,yes,418,no,
CALL-0286,2026-05-07T10:28,Roofing,human,no,87,no,
CALL-0287,2026-05-14T14:00,Roofing,ai,no,403,yes,APPT-5133
CALL-0288,2026-06-11T08:46,Plumbing,ai,no,120,yes,APPT-5134
CALL-0289,2026-06-01T16:31,Plumbing,ai,no,49,yes,APPT-5135
CALL-0290,2026-06-18T10:16,HVAC,ai,no,262,no,
CALL-0291,2026-05-12T18:38,Roofing,ai,yes,311,yes,APPT-5136
CALL-0292,2026-06-24T14:42,Roofing,ai,no,243,no,
CALL-0293,2026-05-21T11:08,Plumbing,ai,no,310,no,
CALL-0294,2026-06-08T07:44,Electrical,ai,yes,421,yes,APPT-5137
CALL-0295,2026-05-10T09:46,Roofing,ai,yes,288,yes,APPT-5138
CALL-0296,2026-06-03T12:44,Roofing,ai,no,387,yes,APPT-5139
CALL-0297,2026-06-28T13:05,Roofing,ai,yes,366,yes,APPT-5140
CALL-0298,2026-05-23T11:36,HVAC,ai,yes,169,yes,APPT-5141
CALL-0299,2026-05-26T10:06,Garage Door,ai,no,472,yes,APPT-5142
CALL-0300,2026-06-29T14:01,Electrical,ai,no,327,no,
CALL-0301,2026-05-02T14:53,HVAC,ai,yes,300,yes,APPT-5143
CALL-0302,2026-05-24T16:11,Plumbing,ai,yes,323,no,
CALL-0303,2026-05-15T13:54,Roofing,human,no,150,yes,APPT-5144
CALL-0304,2026-06-22T11:54,Plumbing,ai,no,192,no,
CALL-0305,2026-05-28T10:47,Plumbing,human,no,320,no,
CALL-0306,2026-05-23T15:26,Roofing,ai,yes,211,no,
CALL-0307,2026-06-26T07:09,Electrical,ai,yes,468,no,
CALL-0308,2026-05-04T09:11,Plumbing,human,no,196,yes,APPT-5145
CALL-0309,2026-06-27T13:41,HVAC,ai,yes,307,no,
CALL-0310,2026-06-23T14:41,Garage Door,ai,no,120,yes,APPT-5146
CALL-0311,2026-06-22T12:21,Garage Door,ai,no,475,no,
CALL-0312,2026-05-01T18:26,Electrical,ai,yes,111,no,
CALL-0313,2026-05-24T14:23,Roofing,ai,yes,132,yes,APPT-5147
CALL-0314,2026-05-19T09:17,Plumbing,ai,no,143,yes,APPT-5148
CALL-0315,2026-05-22T10:54,Roofing,ai,no,189,yes,APPT-5149
CALL-0316,2026-05-08T10:12,Garage Door,ai,no,416,yes,APPT-5150
CALL-0317,2026-05-15T10:41,HVAC,ai,no,433,no,
CALL-0318,2026-06-14T20:22,Garage Door,ai,yes,230,no,
CALL-0319,2026-06-14T09:58,Roofing,ai,yes,375,yes,APPT-5151
CALL-0320,2026-05-02T09:22,HVAC,ai,yes,156,no,
CALL-0321,2026-05-14T13:08,Garage Door,ai,no,250,no,
CALL-0322,2026-05-26T14:36,HVAC,ai,no,71,yes,APPT-5152
CALL-0323,2026-06-21T14:27,Plumbing,ai,yes,478,no,
CALL-0324,2026-06-07T14:51,Roofing,ai,yes,314,no,
CALL-0325,2026-05-19T08:47,HVAC,ai,no,146,no,
CALL-0326,2026-05-31T17:38,HVAC,ai,yes,474,yes,APPT-5153
CALL-0327,2026-06-20T10:12,Plumbing,ai,yes,167,no,
CALL-0328,2026-05-06T13:52,Plumbing,ai,no,57,yes,APPT-5154
CALL-0329,2026-06-28T13:21,Garage Door,ai,yes,265,no,
CALL-0330,2026-05-10T14:49,Garage Door,ai,yes,260,no,
CALL-0331,2026-06-15T12:58,Plumbing,ai,no,241,yes,APPT-5155
CALL-0332,2026-05-01T10:27,HVAC,ai,no,360,no,
CALL-0333,2026-05-28T14:39,Roofing,ai,no,336,yes,APPT-5156
CALL-0334,2026-06-13T11:03,Garage Door,human,yes,220,no,
CALL-0335,2026-05-10T08:46,Garage Door,ai,yes,304,no,
CALL-0336,2026-06-19T12:00,Garage Door,ai,no,121,no,
CALL-0337,2026-06-12T10:59,Roofing,ai,no,187,yes,APPT-5157
CALL-0338,2026-05-27T15:18,Electrical,ai,no,92,no,
CALL-0339,2026-06-04T13:26,Roofing,ai,no,276,no,
CALL-0340,2026-05-13T07:40,Plumbing,human,yes,196,no,
CALL-0341,2026-06-19T08:03,Garage Door,ai,no,306,yes,APPT-5158
CALL-0342,2026-05-27T15:44,Plumbing,ai,no,434,yes,APPT-5159
CALL-0343,2026-06-04T09:44,Garage Door,human,no,188,yes,APPT-5160
CALL-0344,2026-05-20T10:01,HVAC,human,no,468,yes,APPT-5161
CALL-0345,2026-05-09T11:05,Garage Door,ai,yes,288,no,
CALL-0346,2026-06-15T07:14,Electrical,human,yes,56,no,
CALL-0347,2026-06-25T16:22,Roofing,ai,no,82,no,
CALL-0348,2026-06-27T09:05,Roofing,ai,yes,112,no,
CALL-0349,2026-05-21T11:25,Plumbing,ai,no,288,no,
CALL-0350,2026-05-19T12:55,HVAC,ai,no,308,yes,APPT-5162
CALL-0351,2026-06-08T14:13,Plumbing,ai,no,411,yes,APPT-5163
CALL-0352,2026-05-02T07:34,Plumbing,ai,yes,72,no,
CALL-0353,2026-05-01T09:41,HVAC,ai,no,394,no,
CALL-0354,2026-05-24T16:47,Roofing,ai,yes,303,yes,APPT-5164
CALL-0355,2026-06-25T06:53,Electrical,ai,yes,166,no,
CALL-0356,2026-05-13T09:17,Electrical,ai,no,356,yes,APPT-5165
CALL-0357,2026-06-06T12:32,Electrical,ai,yes,191,no,
CALL-0358,2026-06-12T14:47,Garage Door,ai,no,381,no,
CALL-0359,2026-06-29T22:38,Electrical,ai,yes,388,no,
CALL-0360,2026-06-23T08:47,Electrical,ai,no,335,yes,APPT-5166
CALL-0361,2026-06-17T13:50,Plumbing,ai,no,214,no,
CALL-0362,2026-06-02T18:51,Electrical,ai,yes,187,yes,APPT-5167
CALL-0363,2026-05-03T13:31,Electrical,ai,yes,253,no,
CALL-0364,2026-05-07T11:47,Roofing,ai,no,437,yes,APPT-5168
CALL-0365,2026-05-28T08:08,Electrical,ai,no,58,yes,APPT-5169
CALL-0366,2026-05-25T09:53,Plumbing,ai,no,72,no,
CALL-0367,2026-05-02T17:19,HVAC,ai,yes,307,yes,APPT-5170
CALL-0368,2026-06-18T16:51,Garage Door,ai,no,104,yes,APPT-5171
CALL-0369,2026-05-18T10:18,Roofing,ai,no,80,yes,APPT-5172
CALL-0370,2026-06-26T21:48,HVAC,ai,yes,396,no,
CALL-0371,2026-05-16T12:55,Garage Door,ai,yes,74,yes,APPT-5173
CALL-0372,2026-05-01T16:56,Electrical,ai,no,65,no,
CALL-0373,2026-05-31T15:47,HVAC,ai,yes,70,no,
CALL-0374,2026-06-29T12:27,Electrical,ai,no,419,no,
CALL-0375,2026-05-20T11:17,HVAC,ai,no,374,no,
CALL-0376,2026-05-12T13:17,Roofing,ai,no,98,yes,APPT-5174
